date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:09:41	17338/17338	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Jul%202017%2012:57:02%20GMT	http://fairdeallab.website/demos/startup/demos.html	C:/Users/Joel/Documents/work/web/AlliedMicro/fairdeallab.website/demos/startup/demos.html	(from )
11:09:41	327/327	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202018%2005:39:43%20GMT	http://fairdeallab.website/robots.txt		(from )
11:09:42	2076/2076	---M--	200	added ('OK')	image/png	date:Wed,%2017%20May%202017%2019:46:24%20GMT	http://fairdeallab.website/demos/startup/images/favicon.png	C:/Users/Joel/Documents/work/web/AlliedMicro/fairdeallab.website/demos/startup/images/favicon.png	(from http://fairdeallab.website/demos/startup/demos.html)
11:09:44	31000/31000	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Jan%202017%2007:19:34%20GMT	http://fairdeallab.website/demos/startup/css/font-awesome.min.css	C:/Users/Joel/Documents/work/web/AlliedMicro/fairdeallab.website/demos/startup/css/font-awesome.min.css	(from http://fairdeallab.website/demos/startup/demos.html)
11:09:46	119283/119283	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Mar%202017%2022:47:04%20GMT	http://fairdeallab.website/demos/startup/demos/css/iconmind-line.css	C:/Users/Joel/Documents/work/web/AlliedMicro/fairdeallab.website/demos/startup/demos/css/iconmind-line.css	(from http://fairdeallab.website/demos/startup/demos.html)
11:09:47	121200/121200	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Jan%202017%2007:46:06%20GMT	http://fairdeallab.website/demos/startup/demos/css/bootstrap.min.css	C:/Users/Joel/Documents/work/web/AlliedMicro/fairdeallab.website/demos/startup/demos/css/bootstrap.min.css	(from http://fairdeallab.website/demos/startup/demos.html)
11:09:49	7851/7851	---M--	200	added ('OK')	text/css	date:Sun,%2028%20May%202017%2006:06:26%20GMT	http://fairdeallab.website/demos/startup/demos/css/padding.margin.css	C:/Users/Joel/Documents/work/web/AlliedMicro/fairdeallab.website/demos/startup/demos/css/padding.margin.css	(from http://fairdeallab.website/demos/startup/demos.html)
11:09:49	20972/20972	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Jul%202017%2022:21:52%20GMT	http://fairdeallab.website/demos/startup/demos/style.css	C:/Users/Joel/Documents/work/web/AlliedMicro/fairdeallab.website/demos/startup/demos/style.css	(from http://fairdeallab.website/demos/startup/demos.html)
11:09:49	2079/2079	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Jul%202017%2005:02:14%20GMT	http://fairdeallab.website/demos/startup/demos/css/responsive.css	C:/Users/Joel/Documents/work/web/AlliedMicro/fairdeallab.website/demos/startup/demos/css/responsive.css	(from http://fairdeallab.website/demos/startup/demos.html)
11:09:50	3166/3166	---M--	200	added ('OK')	image/png	date:Wed,%2003%20May%202017%2019:22:36%20GMT	http://fairdeallab.website/demos/startup/images/logo.png	C:/Users/Joel/Documents/work/web/AlliedMicro/fairdeallab.website/demos/startup/images/logo.png	(from http://fairdeallab.website/demos/startup/demos.html)
11:09:50	35268/35268	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Jul%202017%2022:14:20%20GMT	http://fairdeallab.website/demos/startup/index.html	C:/Users/Joel/Documents/work/web/AlliedMicro/fairdeallab.website/demos/startup/index.html	(from http://fairdeallab.website/demos/startup/demos.html)
11:09:51	28250/28250	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Jul%202017%2022:14:20%20GMT	http://fairdeallab.website/demos/startup/web_agency.html	C:/Users/Joel/Documents/work/web/AlliedMicro/fairdeallab.website/demos/startup/web_agency.html	(from http://fairdeallab.website/demos/startup/demos.html)
11:09:52	25812/25812	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Jul%202017%2022:14:20%20GMT	http://fairdeallab.website/demos/startup/agency.html	C:/Users/Joel/Documents/work/web/AlliedMicro/fairdeallab.website/demos/startup/agency.html	(from http://fairdeallab.website/demos/startup/demos.html)
11:09:52	16319/16319	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Jul%202017%2002:34:54%20GMT	http://fairdeallab.website/demos/startup/personal_portfolio.html	C:/Users/Joel/Documents/work/web/AlliedMicro/fairdeallab.website/demos/startup/personal_portfolio.html	(from http://fairdeallab.website/demos/startup/demos.html)
11:09:53	23147/23147	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Jul%202017%2022:14:20%20GMT	http://fairdeallab.website/demos/startup/product_landing.html	C:/Users/Joel/Documents/work/web/AlliedMicro/fairdeallab.website/demos/startup/product_landing.html	(from http://fairdeallab.website/demos/startup/demos.html)
11:09:53	43712/43712	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Jul%202017%2022:14:20%20GMT	http://fairdeallab.website/demos/startup/online_learning.html	C:/Users/Joel/Documents/work/web/AlliedMicro/fairdeallab.website/demos/startup/online_learning.html	(from http://fairdeallab.website/demos/startup/demos.html)
